,title,vote_average
0,Avatar,7.2
1,Pirates of the Caribbean: At World's End,6.9
2,Spectre,6.3
3,The Dark Knight Rises,7.6
4,John Carter,6.1
5,Spider-Man 3,5.9
6,Tangled,7.4
7,Avengers: Age of Ultron,7.3
8,Harry Potter and the Half-Blood Prince,7.4
9,Batman v Superman: Dawn of Justice,5.7
10,Superman Returns,5.4
11,Quantum of Solace,6.1
12,Pirates of the Caribbean: Dead Man's Chest,7.0
13,The Lone Ranger,5.9
14,Man of Steel,6.5
15,The Chronicles of Narnia: Prince Caspian,6.3
16,The Avengers,7.4
17,Pirates of the Caribbean: On Stranger Tides,6.4
18,Men in Black 3,6.2
19,The Hobbit: The Battle of the Five Armies,7.1
20,The Amazing Spider-Man,6.5
21,Robin Hood,6.2
22,The Hobbit: The Desolation of Smaug,7.6
23,The Golden Compass,5.8
24,King Kong,6.6
25,Titanic,7.5
26,Captain America: Civil War,7.1
27,Battleship,5.5
28,Jurassic World,6.5
29,Skyfall,6.9
30,Spider-Man 2,6.7
31,Iron Man 3,6.8
32,Alice in Wonderland,6.4
33,X-Men: The Last Stand,6.3
34,Monsters University,7.0
35,Transformers: Revenge of the Fallen,6.0
36,Transformers: Age of Extinction,5.8
37,Oz: The Great and Powerful,5.7
38,The Amazing Spider-Man 2,6.5
39,TRON: Legacy,6.3
40,Cars 2,5.8
41,Green Lantern,5.1
42,Toy Story 3,7.6
43,Terminator Salvation,5.9
44,Furious 7,7.3
45,World War Z,6.7
46,X-Men: Days of Future Past,7.5
47,Star Trek Into Darkness,7.4
48,Jack the Giant Slayer,5.5
49,The Great Gatsby,7.3
50,Prince of Persia: The Sands of Time,6.2
51,Pacific Rim,6.7
52,Transformers: Dark of the Moon,6.1
53,Indiana Jones and the Kingdom of the Crystal Skull,5.7
54,The Good Dinosaur,6.6
55,Brave,6.7
56,Star Trek Beyond,6.6
57,WALL·E,7.8
58,Rush Hour 3,6.1
59,2012,5.6
60,A Christmas Carol,6.6
61,Jupiter Ascending,5.2
62,The Legend of Tarzan,5.5
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7
64,X-Men: Apocalypse,6.4
65,The Dark Knight,8.2
66,Up,7.7
